,Tm,W,FranchiseValue,OperatingIncome
17,Arizona Cardinals,11,6.5,280
13,Atlanta Falcons,7,5,142
9,Baltimore Ravens,8,4.85,-13
1,Buffalo Bills,11,4.8,37
14,Carolina Panthers,5,4.2,25
8,Chicago Bears,6,4.18,-45
6,Cincinnati Bengals,10,4.08,-3.6
8,Cleveland Browns,8,4.05,8.4
1,Dallas Cowboys,12,3.8,-26
19,Denver Broncos,7,3.75,8.2
9,Detroit Lions,3,3.7,-20
6,Green Bay Packers,13,3.5,-21
13,Houston Texans,4,3.48,-34
12,Indianapolis Colts,9,3.43,24
14,Jacksonville Jaguars,3,3.42,7.9
16,Kansas City Chiefs,12,3.42,-5.1
17,Las Vegas Raiders,10,3.4,-21
18,Los Angeles Chargers,9,3.35,-9.7
16,Los Angeles Rams,12,3.25,-20
3,Miami Dolphins,9,3.2,-4
7,Minnesota Vikings,8,2.94,1.9
2,New England Patriots,10,2.93,9
12,New Orleans Saints,9,2.92,-49
4,New York Giants,4,2.91,-22
4,New York Jets,4,2.83,-16
2,Philadelphia Eagles,9,2.8,69
7,Pittsburgh Steelers,9,2.65,-16
18,San Francisco 49ers,10,2.63,-12
19,Seattle Seahawks,7,2.6,5.7
11,Tampa Bay Buccaneers,13,2.4,-22
11,Tennessee Titans,12,2.28,-17
3,Washington Football Team,7,2.27,-18
